,Position,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes
8617,1,57.0,61.0,45.0,64.0,51.0,69.0,54.0,60.0,59.0,69.0,80.0,76.0,77.0,70.0,84.0,61.0,42.0,80.0,50.0,60.0,43.0,53.0,50.0,67.0,47.0,69.0,58.0,60.0,45.0,14.0,12.0,15.0,11.0,14.0
15494,1,51.0,57.0,49.0,58.0,42.0,61.0,58.0,55.0,55.0,60.0,66.0,64.0,60.0,60.0,62.0,63.0,55.0,54.0,69.0,53.0,49.0,36.0,57.0,52.0,48.0,48.0,39.0,36.0,33.0,14.0,12.0,14.0,11.0,9.0
4979,2,32.0,38.0,72.0,66.0,28.0,41.0,27.0,30.0,63.0,61.0,54.0,50.0,51.0,65.0,37.0,53.0,64.0,66.0,85.0,40.0,59.0,66.0,34.0,37.0,31.0,62.0,69.0,73.0,65.0,6.0,14.0,7.0,13.0,12.0
15735,0,58.0,56.0,48.0,56.0,70.0,62.0,52.0,42.0,48.0,61.0,64.0,69.0,70.0,62.0,68.0,68.0,69.0,82.0,60.0,52.0,36.0,16.0,55.0,49.0,55.0,57.0,20.0,24.0,22.0,9.0,12.0,10.0,11.0,7.0
6000,2,69.0,36.0,54.0,62.0,31.0,71.0,32.0,31.0,56.0,68.0,84.0,79.0,79.0,65.0,85.0,56.0,84.0,67.0,50.0,32.0,68.0,67.0,63.0,55.0,39.0,66.0,61.0,68.0,68.0,11.0,10.0,12.0,15.0,15.0
7396,2,50.0,38.0,69.0,65.0,32.0,54.0,40.0,29.0,59.0,62.0,66.0,67.0,58.0,65.0,63.0,58.0,74.0,66.0,64.0,50.0,60.0,67.0,36.0,39.0,46.0,68.0,69.0,71.0,69.0,13.0,8.0,8.0,8.0,8.0
125,1,78.0,85.0,65.0,79.0,79.0,88.0,81.0,70.0,64.0,85.0,88.0,87.0,82.0,84.0,76.0,86.0,63.0,85.0,63.0,88.0,60.0,39.0,85.0,80.0,71.0,82.0,48.0,34.0,33.0,11.0,13.0,13.0,6.0,10.0
12778,3,12.0,19.0,14.0,36.0,16.0,16.0,10.0,19.0,28.0,24.0,35.0,35.0,52.0,67.0,31.0,36.0,51.0,41.0,54.0,17.0,44.0,26.0,16.0,43.0,17.0,47.0,11.0,15.0,9.0,56.0,59.0,64.0,69.0,59.0
13017,0,61.0,51.0,34.0,62.0,36.0,68.0,51.0,42.0,57.0,66.0,74.0,80.0,76.0,56.0,75.0,56.0,81.0,61.0,54.0,46.0,44.0,34.0,59.0,55.0,46.0,58.0,59.0,26.0,24.0,15.0,9.0,16.0,9.0,7.0
8215,0,61.0,61.0,48.0,59.0,52.0,67.0,45.0,33.0,55.0,64.0,85.0,90.0,85.0,61.0,78.0,68.0,90.0,74.0,78.0,65.0,52.0,25.0,68.0,60.0,66.0,65.0,27.0,25.0,24.0,13.0,15.0,8.0,7.0,15.0
9724,2,38.0,33.0,56.0,44.0,35.0,44.0,36.0,44.0,42.0,49.0,72.0,70.0,58.0,59.0,63.0,54.0,81.0,78.0,75.0,35.0,56.0,60.0,38.0,44.0,47.0,57.0,65.0,78.0,73.0,14.0,14.0,9.0,7.0,10.0
